Name,Price,Volume_24h,Market_cap
Bitcoin,"$57,896.00",$31.01B,$31.01B
Ethereum,"$2,350.09","$1,143.64B","$1,143.64B"
TetherUS,$1.00,$10.98B,$10.98B
BNB,$541.10,$282.79B,$282.79B
Solana,$134.60,$46.07B,$46.07B
USD Coin,$1.00,$118.37B,$118.37B
Ripple,$0.5717,$1.63B,$1.63B
Dogecoin,$0.10341,$78.96B,$78.96B
Toncoin,$5.55,$1.35B,$1.35B
TRON,$0.1513,$63.01B,$63.01B
Cardano,$0.3572,$5.13B,$5.13B
Avalanche,$23.74,$35.40B,$35.40B
Wrapped Bitcoin,"$57,846.01",$1.75B,$1.75B
SHIBA INU,$0.00001346,$32.23B,$32.23B
Bitcoin Cash,$330.20,$418.62M,$418.62M
ChainLink,$10.72,$15.09B,$15.09B
Polkadot,$4.29,$315.39M,$315.39M
Dai,$1.00,$14.06B,$14.06B
NEAR Protocol,$4.22,$272.14M,$272.14M
Litecoin,$62.67,$13.11B,$13.11B
Uniswap,$6.72,$230.49M,$230.49M
Internet Computer,$8.40,$12.84B,$12.84B
Artificial Superintelligence Alliance,$1.36,$185.39M,$185.39M
Wrapped Beacon ETH (WBETH),"$2,465.01",$9.62B,$9.62B
Pepe,$0.00000735,$165.11M,$165.11M
Aptos,$6.13,$8.86B,$8.86B
Stellar Lumens,$0.0951,$113.88M,$113.88M
Sui,$1.03,$7.93B,$7.93B
Ethereum Classic,$18.36,$161.52M,$161.52M
Render,$5.13,$6.52B,$6.52B
